epoch,train_loss,train_acc,val_acc
1,3.226197443915006,0.3085320792744374,0.36155913978494625
2,2.415880694019342,0.3684917702384951,0.40591397849462363
3,2.432498684336285,0.3950285522337924,0.40053763440860213
4,2.2882494814331036,0.43080282163251593,0.45698924731182794
5,2.238725468861724,0.4581793752099429,0.49126344086021506
6,2.1975871083878173,0.48454820288881423,0.510752688172043
7,2.148663239387766,0.4914343298622775,0.4946236559139785
8,2.1435549319250935,0.50990930466913,0.4932795698924731
9,2.1298899318213267,0.5201545179711119,0.46706989247311825
10,2.1285346037275565,0.5253611017803158,0.5053763440860215
