epoch,train_loss,train_acc,val_acc
1,0.1198083663369921,0.33977158212966074,0.3790322580645161
2,0.10975640681833479,0.38478333893181055,0.36626344086021506
3,0.1050954113533263,0.4064494457507558,0.46169354838709675
4,0.09959434293933792,0.44642257306012767,0.43413978494623656
5,0.09545354842188616,0.4669129996640914,0.48185483870967744
6,0.09242455041374502,0.48018139066174,0.5013440860215054
7,0.08835775336093618,0.4996640913671481,0.4952956989247312
8,0.08577900412556586,0.5082297615048706,0.521505376344086
9,0.08358785104248041,0.5225058784010749,0.49193548387096775
10,0.08085278336673245,0.5263688276788714,0.5053763440860215
